scenario,obs_model,parameter,unit,prior_median,prior_68_lo,prior_68_hi,posterior_median,posterior_68_lo,posterior_68_hi,posterior_95_lo,posterior_95_hi,shrinkage,ess,k_hat,k_diagnostic
strong,pure_water,q_basal,mW/m$^2$,19.3631,9.2270,29.6653,19.7406,9.1290,28.7318,6.2835,33.3058,0.0409,10793.2,0.450,good
strong,pure_water,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5875,0.3737,0.9098,0.2536,1.4084,0.0389,10793.2,0.450,good
strong,pure_water,T_surf,K,109.8179,104.9436,114.6315,109.5797,104.7173,114.4023,100.1003,118.1818,0.0003,10793.2,0.450,good
strong,pure_water,D_cond,km,16.18,,,19.48,14.64,28.37,,,0.2026,10793.2,0.450,good
strong,low_salinity,Q_v,kJ/mol,59.3784,56.3655,62.4169,59.8024,57.0803,62.5620,54.5274,65.0678,0.0941,12505.0,0.450,good
strong,low_salinity,d_grain,mm,0.5875,0.2661,1.2574,0.6608,0.3249,1.3004,0.1621,2.3107,0.0159,12505.0,0.450,good
strong,low_salinity,q_basal,mW/m$^2$,19.3631,9.2270,29.6653,20.6376,9.4212,29.7009,6.3230,33.5801,0.0078,12505.0,0.450,good
strong,low_salinity,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5960,0.3782,0.9272,0.2562,1.4262,0.0158,12505.0,0.450,good
strong,low_salinity,T_surf,K,109.8179,104.9436,114.6315,109.7033,104.8220,114.5204,100.2371,118.2733,-0.0011,12505.0,0.450,good
strong,low_salinity,D_cond,km,16.18,,,17.64,12.82,25.10,,,0.2867,12505.0,0.450,good
