output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
convective_flag,512,main,porosity,-0.0012006200525357354,0.01348224364990653,0.012341364058187605,0.013917078892451048,,,
thickness_km,128,main,basal_flux,0.7776536376611549,0.1954586803214171,0.8862072156921588,0.19741630977065264,,,
thickness_km,128,main,shell_rheology,0.05294679505565321,0.10482639015579223,0.1314247391977426,0.051001150284644324,,,
thickness_km,128,main,shell_tides,0.12035570157050296,0.08897119860446719,0.12172184063555631,0.053002739993840926,,,
thickness_km,128,main,surface_boundary,0.004619048646613929,0.017673677964179655,0.004672220717188525,0.0035575293474218728,,,
thickness_km,128,main,porosity,0.000857155173631621,0.0047648628241229295,0.00041819183684196025,0.0006759535988320928,,,
thickness_km,256,main,basal_flux,0.7463462058468479,0.14364864709043013,0.8397393072971773,0.1360762442222692,,,
thickness_km,256,main,shell_rheology,0.03780764798039624,0.06736555043627732,0.1143782944635316,0.02893513925967799,,,
thickness_km,256,main,shell_tides,0.10153619009098382,0.06284692032871562,0.1579459736524645,0.04802918978507554,,,
thickness_km,256,main,surface_boundary,0.0017033225139136856,0.010163487172067843,0.0038277135432527414,0.002002141749396709,,,
thickness_km,256,main,porosity,0.00022410406883393005,0.0027874952969521014,0.00026213479912689874,0.0003323114779012909,,,
thickness_km,512,main,basal_flux,0.7671406810235825,0.09764527478797473,0.8367071639487641,0.0956101200693433,,,
thickness_km,512,main,shell_rheology,0.036599663876182575,0.0445986893616656,0.10539265493240588,0.018341436065826302,,,
thickness_km,512,main,shell_tides,0.10982125267792649,0.049124375474455785,0.17755845501072165,0.03947541500618687,,,
thickness_km,512,main,surface_boundary,-0.00027248165338555837,0.007735165421592713,0.004114706499449958,0.0012338231483195233,,,
thickness_km,512,main,porosity,0.0018686090334416462,0.002313764135382708,0.00041777689464278473,0.00028792476270022844,,,
D_cond_km,128,main,basal_flux,0.048003759692440195,0.08836599880911945,0.12225337147078116,0.09400111700151144,,,
D_cond_km,128,main,shell_rheology,0.6499731053087375,0.16564987663302597,0.7114598558965817,0.25555595673589687,,,
D_cond_km,128,main,shell_tides,0.07819972673287236,0.10222724701837761,0.2089207267173691,0.15150973297390927,,,
D_cond_km,128,main,surface_boundary,0.01778737254106141,0.02726753286425204,0.01889897650133101,0.010350628401742404,,,
D_cond_km,128,main,porosity,-0.0081504375551366,0.013200791730899638,0.002642943218853356,0.00478548693937924,,,
D_cond_km,256,main,basal_flux,0.0744083158579606,0.0787637615223304,0.1666182753181322,0.0747747464757361,,,
D_cond_km,256,main,shell_rheology,0.6404914955166744,0.18930234157251646,0.7571811135820473,0.16453886358615727,,,
D_cond_km,256,main,shell_tides,0.06488722290787372,0.06352870254479598,0.22021013485188842,0.0975492601894342,,,
D_cond_km,256,main,surface_boundary,0.012931867693683465,0.021734716709250836,0.014804295501853618,0.006113669091666068,,,
D_cond_km,256,main,porosity,0.008634184052280926,0.01810158414332607,0.002956321924232078,0.0035741094254370842,,,
D_cond_km,512,main,basal_flux,0.04863689427110618,0.05182503116963895,0.14560899445920847,0.04536968445783662,,,
D_cond_km,512,main,shell_rheology,0.661092043693114,0.1419198699363707,0.8748915342029107,0.16174067075320386,,,
D_cond_km,512,main,shell_tides,0.09583226151936904,0.051395953637692685,0.2849504909268632,0.1009342505023083,,,
D_cond_km,512,main,surface_boundary,0.009818212605167888,0.016786074082086443,0.01584960574397923,0.004408596589417164,,,
D_cond_km,512,main,porosity,0.005308060750531822,0.010050036878967892,0.0023841266328740694,0.0019020398556728526,,,
D_conv_km,128,main,basal_flux,0.7758598476986782,0.2026511131922936,0.8513184110652499,0.16945895488261126,,,
D_conv_km,128,main,shell_rheology,0.1894101456123597,0.11476784804341328,0.23748256094430284,0.10675215163307461,,,
D_conv_km,128,main,shell_tides,0.04276349419655109,0.06336692857841332,0.07271491076727872,0.048065772595070735,,,
D_conv_km,128,main,surface_boundary,-0.0040489028193177136,0.010299970447065352,0.0018593721301781345,0.0010718549513878942,,,
D_conv_km,128,main,porosity,-0.00259517941254458,0.004261207302185928,0.00014348545947137262,0.0001940591725988682,,,
D_conv_km,256,main,basal_flux,0.7027058123529065,0.14282465607672004,0.8069316339109993,0.12253748220824653,,,
D_conv_km,256,main,shell_rheology,0.1586966161100856,0.07707896079002215,0.23371375126079344,0.06988775073062513,,,
D_conv_km,256,main,shell_tides,0.01468199922950559,0.042394102912990374,0.07760241806578323,0.03305532576807144,,,
D_conv_km,256,main,surface_boundary,-0.0014571738390650602,0.007856251956859562,0.0019376010683021428,0.0007402599508086638,,,
D_conv_km,256,main,porosity,0.001233002655795425,0.004453007139533196,0.0006671035097002991,0.0010694342617484328,,,
D_conv_km,512,main,basal_flux,0.7212450271299623,0.10624879008408951,0.8246051604085516,0.08711826417640056,,,
D_conv_km,512,main,shell_rheology,0.13222643172252133,0.05415827997380823,0.23545697723095566,0.04967578719824988,,,
D_conv_km,512,main,shell_tides,0.013950057543952284,0.02946702607999715,0.07104015034182849,0.020398769462687906,,,
D_conv_km,512,main,surface_boundary,-0.0013524596008016709,0.005798824695701002,0.00203010665633677,0.0006189391119468992,,,
D_conv_km,512,main,porosity,0.0006625249677327049,0.0023561223256295693,0.00041824208970544076,0.000537352381141057,,,
lid_fraction,128,main,basal_flux,0.5046698574538028,0.16718052964891464,0.6061765386127023,0.14199241028894455,,,
lid_fraction,128,main,shell_rheology,0.45054666257544623,0.167831207211097,0.5298919034035728,0.15119403051159505,,,
lid_fraction,128,main,shell_tides,0.03888294321308323,0.08794864270768796,0.11161112899650237,0.06255589301020098,,,
lid_fraction,128,main,surface_boundary,-0.011496949529274866,0.022462574216521296,0.0055406267729406315,0.004824262850275416,,,
lid_fraction,128,main,porosity,-0.010855647023066874,0.016873611498553612,0.0025019972867122127,0.004587191840776599,,,
lid_fraction,256,main,basal_flux,0.48430847339036015,0.11594994522703493,0.610194376433931,0.10448274014780637,,,
