output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
D_cond_km,512,main,H_rad_pW_kg,-0.00015831220137999842,0.001469589744130447,0.0004292808713774671,0.0003325413604045623,,,
D_cond_km,512,main,f_porosity,0.0020363109952731356,0.006146651528066824,0.001026860543723055,0.0006104812633664036,,,
D_conv_km,128,main,q_basal_target_mW_m2,0.8324298762083534,0.2101364800221641,0.9006824529313874,0.16932828525857588,,,
D_conv_km,128,main,d_grain_mm,0.02772916468658421,0.07659981322657906,0.14046858625261693,0.07979399844162616,,,
D_conv_km,128,main,epsilon_0,-0.004153747238689609,0.016037331349689262,0.005044665780502745,0.0035773556024323084,,,
D_conv_km,128,main,T_surf_K,-0.0029423888203759345,0.009259538319555116,0.0014928996139476746,0.0007832569343674185,,,
D_conv_km,128,main,D_H2O_km,-0.001759908184835099,0.0033310765722520046,0.00035708727598934815,0.00045642978405642444,,,
D_conv_km,128,main,mu_ice_GPa,0.00307652902516578,0.010431063717519066,0.0024970510438565427,0.002573822737581317,,,
D_conv_km,128,main,Q_v_kJ_mol,0.09187471369198678,0.08287917164780559,0.16762850157280226,0.10921542030052676,,,
D_conv_km,128,main,Q_b_kJ_mol,-3.3367385200351767e-05,0.00014892617684532096,3.3689256265494635e-06,5.915512313620819e-06,,,
D_conv_km,128,main,H_rad_pW_kg,-0.008470723595753321,0.01656012843875966,0.005757831899463475,0.007035960377232684,,,
D_conv_km,128,main,f_porosity,-0.003621130914760784,0.004802761326366758,0.00025583950170934687,0.00013927192187970764,,,
D_conv_km,256,main,q_basal_target_mW_m2,0.782005012272058,0.14749797899491018,0.8543323568973313,0.11956631120416296,,,
D_conv_km,256,main,d_grain_mm,0.04578078034482111,0.0689655342437429,0.13372985759127004,0.056035456733492285,,,
D_conv_km,256,main,epsilon_0,-0.0024824709301201377,0.011298271866438895,0.004344388554636853,0.001959939450037428,,,
D_conv_km,256,main,T_surf_K,-0.0043439131747551405,0.007257761495707036,0.0018718917469983196,0.0010223947717623548,,,
D_conv_km,256,main,D_H2O_km,-0.001699242282780486,0.003528472550149913,0.0005081293300817923,0.0003378442246158226,,,
D_conv_km,256,main,mu_ice_GPa,-6.369071218153019e-05,0.005761092575318408,0.001457498800432616,0.0013385999355965403,,,
D_conv_km,256,main,Q_v_kJ_mol,0.08839189740602624,0.06797450429937799,0.14951292987902037,0.06570283773583388,,,
D_conv_km,256,main,Q_b_kJ_mol,-8.797908914719437e-05,0.00022002777767825025,4.183020768490215e-06,4.970312912988166e-06,,,
D_conv_km,256,main,H_rad_pW_kg,-0.004988890604933483,0.011658607997100305,0.005155757164610088,0.004129369318309981,,,
D_conv_km,256,main,f_porosity,-0.0013424246327427255,0.0027697272429505586,0.00019348606205282703,9.417713362355427e-05,,,
D_conv_km,512,main,q_basal_target_mW_m2,0.7842235311977387,0.10270913735757958,0.8543924453199183,0.08333746316608313,,,
D_conv_km,512,main,d_grain_mm,0.04639955903746127,0.041192700324209235,0.11414648661475188,0.03436386502617341,,,
D_conv_km,512,main,epsilon_0,0.0018527801040815123,0.009151615987448855,0.007475538597923856,0.004712517659295784,,,
D_conv_km,512,main,T_surf_K,-0.0034684014583720416,0.005350628141693383,0.001904077585305798,0.000841304599574004,,,
D_conv_km,512,main,D_H2O_km,-0.0002807476642833593,0.002548473162630023,0.00037139060133390686,0.000204394846263726,,,
D_conv_km,512,main,mu_ice_GPa,0.0007187526463656619,0.003151759470842464,0.0008527341524620879,0.0006386026153984703,,,
D_conv_km,512,main,Q_v_kJ_mol,0.07379067772512239,0.04187253122874864,0.13863183092960604,0.03981980827590277,,,
D_conv_km,512,main,Q_b_kJ_mol,0.0004639579685640838,0.0011329746149303052,2.4394094913672896e-05,3.884352751603672e-05,,,
D_conv_km,512,main,H_rad_pW_kg,0.00040924194244797407,0.008023481834986728,0.005731984740170455,0.0031128809945805695,,,
D_conv_km,512,main,f_porosity,-0.00016881678197073222,0.0019274621330522656,0.00016880324393715254,6.77657685160049e-05,,,
lid_fraction,128,main,q_basal_target_mW_m2,0.5113111943179681,0.18761095348805557,0.6332539838934197,0.13694806337673998,,,
lid_fraction,128,main,d_grain_mm,0.17982912915252067,0.11358248537804147,0.2715951733537543,0.0922815982503572,,,
lid_fraction,128,main,epsilon_0,0.009037868411385482,0.02400224400849218,0.007512632072643646,0.005869154756674835,,,
lid_fraction,128,main,T_surf_K,-0.007430026006026028,0.019365138238605417,0.0048422026089367815,0.004695856065467484,,,
lid_fraction,128,main,D_H2O_km,-0.00040829857595145095,0.0014012866964396545,4.2538540830652545e-05,5.659898370580782e-05,,,
lid_fraction,128,main,mu_ice_GPa,0.010441373136499758,0.01872958521035376,0.00597683919480855,0.007066763079959728,,,
lid_fraction,128,main,Q_v_kJ_mol,0.26699611981894045,0.14213044987067702,0.3265701317308669,0.11665964349184914,,,
lid_fraction,128,main,Q_b_kJ_mol,-0.00037130728561951884,0.0005204010452082219,7.658506510935072e-06,1.1567206847340967e-05,,,
lid_fraction,128,main,H_rad_pW_kg,-0.004055758043557572,0.005487503186317459,0.00040847635840055447,0.00046298063795786247,,,
lid_fraction,128,main,f_porosity,-0.004523992784056012,0.0044649350122077935,0.00031941978432767126,0.00014800798066071119,,,
lid_fraction,256,main,q_basal_target_mW_m2,0.5135052390282409,0.12269281863921205,0.6242971777416849,0.09918673936844237,,,
lid_fraction,256,main,d_grain_mm,0.18604846332716685,0.07846301034125747,0.24262657409277796,0.05646654114475527,,,
lid_fraction,256,main,epsilon_0,0.0037911226694448737,0.016120867635394776,0.006691058119660678,0.0031301116350319308,,,
lid_fraction,256,main,T_surf_K,-0.00813404296520141,0.012591444146345837,0.005895381664016003,0.004324218816634333,,,
lid_fraction,256,main,D_H2O_km,-0.0003799823996328128,0.0014262414343810652,6.0750046818389564e-05,4.452200847249065e-05,,,
lid_fraction,256,main,mu_ice_GPa,0.004764630631003013,0.0094342315068077,0.003145185770002923,0.003645991924786557,,,
lid_fraction,256,main,Q_v_kJ_mol,0.24209976917816517,0.09645789124351463,0.2960310139100139,0.07640180548067622,,,
lid_fraction,256,main,Q_b_kJ_mol,-0.00023831921907781857,0.00028530460439589363,5.156972845493961e-06,6.14991299104837e-06,,,
lid_fraction,256,main,H_rad_pW_kg,-0.0022974502099903874,0.003944158039787748,0.00034878261829692376,0.00029212879221147525,,,
lid_fraction,256,main,f_porosity,-0.001371704267486536,0.002763491322486079,0.00022407380382538528,8.24918560799536e-05,,,
lid_fraction,512,main,q_basal_target_mW_m2,0.5092336205479039,0.08791502922647366,0.618924327923825,0.07346342809736202,,,
lid_fraction,512,main,d_grain_mm,0.17850171887644878,0.05669893032883906,0.24581877416692732,0.0434509359030316,,,
lid_fraction,512,main,epsilon_0,-0.0019670472694179523,0.0165133184820781,0.014338503499364769,0.005557547364928545,,,
lid_fraction,512,main,T_surf_K,-0.003307536340910894,0.010567727056420895,0.006065350486749763,0.0035457826076206586,,,
lid_fraction,512,main,D_H2O_km,-4.3432881791913935e-05,0.0007396088325584875,3.938882463981157e-05,2.6080065693032622e-05,,,
lid_fraction,512,main,mu_ice_GPa,0.0032499660901426962,0.00502965270485455,0.001715030939352265,0.0017006486524193838,,,
lid_fraction,512,main,Q_v_kJ_mol,0.21286056051286578,0.06244936898912852,0.2896674660957695,0.05058769780115717,,,
lid_fraction,512,main,Q_b_kJ_mol,0.0016458455619429763,0.003690000023354419,0.0005239498328725748,0.0010025011237990075,,,
lid_fraction,512,main,H_rad_pW_kg,-0.00047986129961467914,0.0022861105696974434,0.0003683912586470843,0.0002406473834730846,,,
lid_fraction,512,main,f_porosity,0.000976868127731506,0.004133569457343474,0.0006961602079132423,0.0009903271429984313,,,
Ra,128,main,q_basal_target_mW_m2,0.020596911771768842,0.08382811707051244,0.993843442983033,0.9300295245059443,,,
Ra,128,main,d_grain_mm,0.01700153492217825,0.9325620284638173,1.8640211471848787,44.078730663082105,,,
Ra,128,main,epsilon_0,0.00017719874744175302,0.0050205744425037705,0.00014164418462975822,0.0031289971031373464,,,
Ra,128,main,T_surf_K,0.0002358521713770521,0.005481904938351902,0.000171030815419065,0.0037401806148913627,,,
Ra,128,main,D_H2O_km,0.00038087369064723704,0.0011710674422621228,0.000383864621187646,0.0003207988506065668,,,
Ra,128,main,mu_ice_GPa,-3.969503417883945e-06,0.0007562683520940264,9.148511479443437e-07,3.557525072659114e-05,,,
Ra,128,main,Q_v_kJ_mol,0.014916143364421978,0.18078087608737992,0.768586288180653,2.534628009204855,,,
Ra,128,main,Q_b_kJ_mol,2.798010845931892e-06,0.0001394617116383951,3.2677601456598866e-08,1.0659661594843461e-06,,,
Ra,128,main,H_rad_pW_kg,-0.0025910244474759603,0.0034751701002682326,0.019153330385356934,0.018019276307687158,,,
Ra,128,main,f_porosity,3.0780073307719046e-05,0.003595146301895508,2.0997998956205793e-05,0.0009113778449398236,,,
Ra,256,main,q_basal_target_mW_m2,0.012026256621247042,0.034267133584275855,0.28373773273596176,0.773620586516997,,,
Ra,256,main,d_grain_mm,0.03258039716682269,0.5933249463027453,0.5864574168227851,10.29027489047237,,,
Ra,256,main,epsilon_0,0.00037201163010451327,0.0058456110387014,8.119424921108831e-05,0.0015550971231084521,,,
Ra,256,main,T_surf_K,0.00015870496403511093,0.003090831190817171,0.00011310677760197127,0.0021559785858416406,,,
Ra,256,main,D_H2O_km,-2.5295114658589746e-05,0.0017810529230852295,0.00010777832133811037,0.000262702910846137,,,
Ra,256,main,mu_ice_GPa,3.835156173608351e-06,0.0001628740031566001,3.5604358774892143e-07,1.1201459125398937e-05,,,
Ra,256,main,Q_v_kJ_mol,0.023602964037680987,0.28318523880031465,0.26954346883421304,2.0854124947980583,,,
Ra,256,main,Q_b_kJ_mol,-7.977817945433429e-06,0.00021877617822682705,5.252631174299646e-07,1.7848156540306927e-05,,,
Ra,256,main,H_rad_pW_kg,0.00021788190928572588,0.012890536184531065,0.005594065081686208,0.014034497317060702,,,
Ra,256,main,f_porosity,1.2878961478773134e-05,0.0006283753679976889,6.726227542237286e-06,0.00017634508083765735,,,
Ra,512,main,q_basal_target_mW_m2,0.013425774148398071,0.014262330820955581,0.4191738086708416,0.7790071881524582,,,
Ra,512,main,d_grain_mm,0.04493100714837554,0.10491322695410055,0.5276400344162702,1.1944995340081512,,,
Ra,512,main,epsilon_0,0.0002914541700769997,0.001426401180415074,0.00036858693007758516,0.0013431206913050446,,,
Ra,512,main,T_surf_K,9.696706707026456e-06,0.00048174174956759554,0.00024659692878448137,0.0009186296654450088,,,
Ra,512,main,D_H2O_km,1.3234300049108507e-05,0.00041309969609664544,0.00010959310280715868,0.00019825692888140295,,,
Ra,512,main,mu_ice_GPa,2.071800160391078e-05,5.221815153227009e-05,9.220182094500379e-07,3.3733035066759503e-06,,,
Ra,512,main,Q_v_kJ_mol,0.023078960327016743,0.06639906594513625,0.3072071454249372,0.5380167548517153,,,
Ra,512,main,Q_b_kJ_mol,-6.122586845784348e-06,3.306407697549218e-05,4.7274109886420124e-07,2.410612941395515e-06,,,
Ra,512,main,H_rad_pW_kg,2.322907997179918e-06,0.0030515796779062845,0.005836068573066898,0.010473651872015027,,,
Ra,512,main,f_porosity,6.723435324928265e-06,7.127681583187371e-05,5.401128166297255e-06,2.2889424930124352e-05,,,
Nu,128,main,q_basal_target_mW_m2,0.3324372726364909,0.17334269947865688,0.7373108470475923,0.30248909238228205,,,
Nu,128,main,d_grain_mm,0.2256388989777946,0.22870866767451642,0.7273373577994635,0.4405055493627321,,,
Nu,128,main,epsilon_0,-0.0011212597653870611,0.005892941805928288,0.000885111241029784,0.0007559110994825652,,,
Nu,128,main,T_surf_K,-0.0019202254122767297,0.0030120061993415075,0.00025104008402294773,0.00014072386517136179,,,
Nu,128,main,D_H2O_km,-0.0005122687327031599,0.0015389821613855745,8.273050411342058e-05,9.623970557872686e-05,,,
Nu,128,main,mu_ice_GPa,0.0005000438545596002,0.002731546437740615,0.00016124139173725728,0.00017333307119754668,,,
Nu,128,main,Q_v_kJ_mol,0.15116763429470076,0.08758646180136173,0.3280552345515763,0.15747946005898297,,,
Nu,128,main,Q_b_kJ_mol,9.01269416656533e-05,0.000176165992804782,1.5720056359775797e-06,2.0820825327521696e-06,,,
Nu,128,main,H_rad_pW_kg,-0.0026614618971831376,0.004960005722120643,0.0012729066455846965,0.0009454415801502813,,,
